num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
879	1655.718108	72.045494	4.049804	-1.111352	119.218627
881	1657.802522	69.066352	4.019251	-1.111333	102.886869
883	1659.887046	66.368725	3.961238	-1.110742	96.985728
885	1661.970298	63.493351	3.946733	-1.110137	93.861026
887	1664.054851	60.895339	3.885534	-1.109012	80.629933
889	1666.139421	58.073785	3.867495	-1.107513	76.423825
891	1668.222653	55.739996	3.820302	-1.106189	72.538531
893	1670.306738	53.388127	3.764082	-1.105340	64.004267
895	1672.390942	50.866774	3.739457	-1.104023	59.845980
897	1674.475498	48.575767	3.692093	-1.102595	54.089048
899	1676.560446	46.495812	3.639441	-1.102722	49.450569
901	1678.646174	44.355010	3.594015	-1.103202	44.810042
903	1680.730911	42.501446	3.490409	-1.103687	41.259919
905	1682.815120	40.644072	3.433979	-1.102153	38.228493
907	1684.896934	38.876381	3.362711	-1.099219	35.721567
909	1686.978708	37.132711	3.287203	-1.095523	30.960003
911	1689.059259	35.511121	3.191078	-1.090627	29.227866
913	1691.142593	33.846280	3.063017	-1.087763	25.757914
915	1693.227819	32.205622	2.956384	-1.087053	23.748961
917	1695.313475	30.472000	2.848167	-1.085574	22.493474
919	1697.399359	29.144939	2.723288	-1.085662	20.106367
921	1699.483502	27.758044	2.644551	-1.084615	17.071756
923	1701.567654	26.502198	2.534168	-1.082961	15.824498
925	1703.652414	25.269695	2.407962	-1.080315	14.654344
927	1705.734393	24.046817	2.318568	-1.077630	13.435332
929	1707.819176	22.945184	2.215048	-1.074915	11.379714
931	1709.901437	21.803672	2.125919	-1.072638	10.351790
933	1711.983397	20.766109	2.038185	-1.070035	10.248594
935	1714.067062	19.727619	1.952335	-1.068038	9.365729
937	1716.149863	18.774635	1.866302	-1.066434	7.821949
939	1718.228791	17.843419	1.785172	-1.066302	7.324879
941	1720.305336	16.943122	1.703408	-1.066447	6.350547
943	1722.388046	16.097845	1.621739	-1.066872	5.695416
945	1724.466324	15.249730	1.552256	-1.067130	5.020676
947	1726.546291	14.398563	1.489953	-1.065749	4.869769
949	1728.633428	13.706682	1.436336	-1.061096	4.256791
951	1730.721182	12.969292	1.374548	-1.057780	3.955139
953	1732.806360	12.318161	1.323910	-1.054368	2.785723
955	1734.898122	11.790261	1.254628	-1.053655	2.935879
957	1736.979609	11.166692	1.202971	-1.053493	3.150688
959	1739.054072	10.643713	1.139200	-1.054358	2.496224
