crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	90.643730	1904	0.000000
281474976710655.000000	46.273506	1905	0.000000
281474976710655.000000	87.213509	1906	0.000000
281474976710655.000000	81.258339	1907	0.000000
281474976710655.000000	81.870720	1908	0.000000
281474976710655.000000	172.578186	1909	0.000000
281474976710655.000000	39.902916	1910	0.000000
281474976710655.000000	78.748993	1911	0.000000
281474976710655.000000	78.550560	1912	0.000000
281474976710655.000000	75.038933	1913	0.000000
281474976710655.000000	71.951279	1914	0.000000
281474976710655.000000	69.571762	1915	0.000000
281474976710655.000000	66.473145	1916	0.000000
281474976710655.000000	69.965828	1917	0.000000
281474976710655.000000	63.127876	1918	0.000000
281474976710655.000000	70.644432	1919	0.000000
281474976710655.000000	94.657005	1920	0.000000
281474976710655.000000	43.735428	1921	0.000000
281474976710655.000000	61.010418	1922	0.000000
281474976710655.000000	59.349842	1923	0.000000
281474976710655.000000	82.604118	1924	0.000000
281474976710655.000000	87.955055	1925	0.000000
281474976710655.000000	44.053986	1926	0.000000
281474976710655.000000	52.627602	1927	0.000000
281474976710655.000000	42.807922	1928	0.000000
281474976710655.000000	48.877678	1929	0.000000
281474976710655.000000	37.642464	1930	0.000000
281474976710655.000000	48.254684	1931	0.000000
281474976710655.000000	65.807854	1932	0.000000
281474976710655.000000	34.842529	1933	0.000000
281474976710655.000000	37.961658	1934	0.000000
281474976710655.000000	33.362232	1935	0.000000
281474976710655.000000	43.345879	1936	0.000000
281474976710655.000000	41.284504	1937	0.000000
281474976710655.000000	39.760857	1938	0.000000
281474976710655.000000	34.185978	1939	0.000000
281474976710655.000000	40.677120	1940	0.000000
281474976710655.000000	36.057102	1941	0.000000
281474976710655.000000	31.615993	1942	0.000000
281474976710655.000000	32.704811	1943	0.000000
281474976710655.000000	39.944057	1944	0.000000
281474976710655.000000	30.873701	1945	0.000000
281474976710655.000000	29.032156	1946	0.000000
281474976710655.000000	29.025404	1947	0.000000
281474976710655.000000	29.666311	1948	0.000000
281474976710655.000000	31.776546	1949	0.000000
281474976710655.000000	28.727158	1950	0.000000
281474976710655.000000	24.976749	1951	0.000000
281474976710655.000000	26.070251	1952	0.000000
281474976710655.000000	24.607363	1953	0.000000
281474976710655.000000	24.520210	1954	0.000000
281474976710655.000000	26.330820	1955	0.000000
281474976710655.000000	24.482302	1956	0.000000
281474976710655.000000	24.359247	1957	0.000000
281474976710655.000000	25.032845	1958	0.000000
281474976710655.000000	25.004284	1959	0.000000
281474976710655.000000	23.304150	1960	0.000000
281474976710655.000000	24.715845	1961	0.000000
281474976710655.000000	21.610151	1962	0.000000
281474976710655.000000	21.572163	1963	0.000000
281474976710655.000000	18.371115	1964	0.000000
281474976710655.000000	20.567480	1965	0.000000
281474976710655.000000	19.287399	1966	0.000000
281474976710655.000000	18.240988	1967	0.000000
281474976710655.000000	18.397066	1968	0.000000
281474976710655.000000	17.501778	1969	0.000000
281474976710655.000000	17.876759	1970	0.000000
281474976710655.000000	17.551453	1971	0.000000
281474976710655.000000	15.905114	1972	0.000000
281474976710655.000000	16.717171	1973	0.000000
281474976710655.000000	15.382842	1974	0.000000
281474976710655.000000	14.785372	1975	0.000000
281474976710655.000000	14.237623	1976	0.000000
281474976710655.000000	14.103167	1977	0.000000
281474976710655.000000	12.953072	1978	0.000000
281474976710655.000000	13.230774	1979	0.000000
281474976710655.000000	12.802606	1980	0.000000
281474976710655.000000	13.542418	1981	0.000000
281474976710655.000000	12.577956	1982	0.000000
281474976710655.000000	12.959817	1983	0.000000
281474976710655.000000	11.620031	1984	0.000000
281474976710655.000000	11.667378	1985	0.000000
281474976710655.000000	10.912532	1986	0.000000
281474976710655.000000	10.701895	1987	0.000000
281474976710655.000000	10.625367	1988	0.000000
281474976710655.000000	10.411067	1989	0.000000
281474976710655.000000	10.153465	1990	0.000000
281474976710655.000000	9.866117	1991	0.000000
281474976710655.000000	9.555175	1992	0.000000
281474976710655.000000	8.883650	1993	0.000000
281474976710655.000000	9.011004	1994	0.000000
281474976710655.000000	8.993396	1995	0.000000
281474976710655.000000	8.431991	1996	0.000000
281474976710655.000000	8.386228	1997	0.000000
281474976710655.000000	8.022354	1998	0.000000
281474976710655.000000	7.918770	1999	0.000000
281474976710655.000000	7.629530	2000	0.000000
281474976710655.000000	7.505400	2001	0.000000
281474976710655.000000	7.120283	2002	0.000000
281474976710655.000000	7.134941	2003	0.000000
281474976710655.000000	6.683809	2004	0.000000
281474976710655.000000	6.753629	2005	0.000000
281474976710655.000000	6.562647	2006	0.000000
281474976710655.000000	6.378810	2007	0.000000
281474976710655.000000	6.042630	2008	0.000000
281474976710655.000000	5.904108	2009	0.000000
281474976710655.000000	5.666026	2010	0.000000
281474976710655.000000	5.666918	2011	0.000000
281474976710655.000000	5.216464	2012	0.000000
281474976710655.000000	5.312607	2013	0.000000
281474976710655.000000	5.099753	2014	0.000000
281474976710655.000000	5.074713	2015	0.000000
281474976710655.000000	4.798927	2016	0.000000
281474976710655.000000	4.781182	2017	0.000000
281474976710655.000000	4.675347	2018	0.000000
281474976710655.000000	4.445238	2019	0.000000
281474976710655.000000	4.279213	2020	0.000000
281474976710655.000000	4.255791	2021	0.000000
281474976710655.000000	4.064929	2022	0.000000
281474976710655.000000	4.028676	2023	0.000000
281474976710655.000000	3.817769	2024	0.000000
281474976710655.000000	3.773484	2025	0.000000
281474976710655.000000	3.650172	2026	0.000000
281474976710655.000000	3.577276	2027	0.000000
281474976710655.000000	3.443540	2028	0.000000
281474976710655.000000	3.342140	2029	0.000000
281474976710655.000000	3.218673	2030	0.000000
281474976710655.000000	3.172719	2031	0.000000
281474976710655.000000	3.027051	2032	0.000000
281474976710655.000000	2.966014	2033	0.000000
281474976710655.000000	2.877347	2034	0.000000
281474976710655.000000	2.786295	2035	0.000000
281474976710655.000000	2.705276	2036	0.000000
281474976710655.000000	2.653511	2037	0.000000
281474976710655.000000	2.484477	2038	0.000000
281474976710655.000000	2.509186	2039	0.000000
