crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	82.595863	6084	0.000000
281474976710655.000000	79.508636	6085	0.000000
281474976710655.000000	82.314125	6086	0.000000
281474976710655.000000	79.073990	6087	0.000000
281474976710655.000000	82.355377	6088	0.000000
281474976710655.000000	71.535904	6089	0.000000
281474976710655.000000	37.907295	6090	0.000000
281474976710655.000000	140.637939	6091	0.000000
281474976710655.000000	35.839672	6092	0.000000
281474976710655.000000	44.787800	6093	0.000000
281474976710655.000000	53.679131	6094	0.000000
281474976710655.000000	66.822044	6095	0.000000
281474976710655.000000	66.449326	6096	0.000000
281474976710655.000000	31.886547	6097	0.000000
281474976710655.000000	39.697601	6098	0.000000
281474976710655.000000	101.369446	6099	0.000000
281474976710655.000000	60.183491	6100	0.000000
281474976710655.000000	86.172417	6101	0.000000
281474976710655.000000	41.367199	6102	0.000000
281474976710655.000000	38.069473	6103	0.000000
281474976710655.000000	57.551880	6104	0.000000
281474976710655.000000	74.196365	6105	0.000000
281474976710655.000000	56.344608	6106	0.000000
281474976710655.000000	52.865490	6107	0.000000
281474976710655.000000	31.062273	6108	0.000000
281474976710655.000000	68.526154	6109	0.000000
281474976710655.000000	60.983875	6110	0.000000
281474976710655.000000	38.445839	6111	0.000000
281474976710655.000000	33.930096	6112	0.000000
281474976710655.000000	43.874805	6113	0.000000
281474976710655.000000	42.653210	6114	0.000000
281474976710655.000000	40.981323	6115	0.000000
281474976710655.000000	38.622463	6116	0.000000
281474976710655.000000	41.915909	6117	0.000000
281474976710655.000000	32.699871	6118	0.000000
281474976710655.000000	37.537186	6119	0.000000
281474976710655.000000	37.131489	6120	0.000000
281474976710655.000000	40.469456	6121	0.000000
281474976710655.000000	39.081955	6122	0.000000
281474976710655.000000	38.428074	6123	0.000000
281474976710655.000000	31.867544	6124	0.000000
281474976710655.000000	30.792278	6125	0.000000
281474976710655.000000	32.034798	6126	0.000000
281474976710655.000000	33.385822	6127	0.000000
281474976710655.000000	37.032551	6128	0.000000
281474976710655.000000	33.588894	6129	0.000000
281474976710655.000000	31.995770	6130	0.000000
281474976710655.000000	27.884024	6131	0.000000
281474976710655.000000	26.104002	6132	0.000000
281474976710655.000000	27.039255	6133	0.000000
281474976710655.000000	30.675623	6134	0.000000
281474976710655.000000	23.993429	6135	0.000000
281474976710655.000000	26.578718	6136	0.000000
281474976710655.000000	26.359894	6137	0.000000
281474976710655.000000	23.421621	6138	0.000000
281474976710655.000000	25.080061	6139	0.000000
281474976710655.000000	25.928921	6140	0.000000
281474976710655.000000	22.821159	6141	0.000000
281474976710655.000000	22.343344	6142	0.000000
281474976710655.000000	22.940205	6143	0.000000
281474976710655.000000	23.231951	6144	0.000000
281474976710655.000000	20.842974	6145	0.000000
281474976710655.000000	19.508083	6146	0.000000
281474976710655.000000	18.905746	6147	0.000000
281474976710655.000000	20.889456	6148	0.000000
281474976710655.000000	20.958418	6149	0.000000
281474976710655.000000	19.190865	6150	0.000000
281474976710655.000000	18.474524	6151	0.000000
281474976710655.000000	19.174593	6152	0.000000
281474976710655.000000	18.636972	6153	0.000000
281474976710655.000000	17.790789	6154	0.000000
281474976710655.000000	16.642281	6155	0.000000
281474976710655.000000	17.208153	6156	0.000000
281474976710655.000000	16.325129	6157	0.000000
281474976710655.000000	15.625102	6158	0.000000
281474976710655.000000	15.779543	6159	0.000000
281474976710655.000000	14.817475	6160	0.000000
281474976710655.000000	15.011954	6161	0.000000
281474976710655.000000	14.490245	6162	0.000000
281474976710655.000000	14.204808	6163	0.000000
281474976710655.000000	13.387069	6164	0.000000
281474976710655.000000	13.425726	6165	0.000000
281474976710655.000000	13.208076	6166	0.000000
281474976710655.000000	12.354393	6167	0.000000
281474976710655.000000	12.462843	6168	0.000000
281474976710655.000000	12.045688	6169	0.000000
281474976710655.000000	11.897232	6170	0.000000
281474976710655.000000	11.484875	6171	0.000000
281474976710655.000000	11.152641	6172	0.000000
281474976710655.000000	10.890055	6173	0.000000
281474976710655.000000	10.522038	6174	0.000000
281474976710655.000000	10.413722	6175	0.000000
281474976710655.000000	10.185824	6176	0.000000
281474976710655.000000	9.809089	6177	0.000000
281474976710655.000000	9.644832	6178	0.000000
281474976710655.000000	9.487171	6179	0.000000
281474976710655.000000	9.412242	6180	0.000000
281474976710655.000000	8.927311	6181	0.000000
281474976710655.000000	8.699233	6182	0.000000
281474976710655.000000	8.458878	6183	0.000000
281474976710655.000000	8.368117	6184	0.000000
281474976710655.000000	7.956007	6185	0.000000
281474976710655.000000	7.871702	6186	0.000000
281474976710655.000000	7.613465	6187	0.000000
281474976710655.000000	7.496609	6188	0.000000
281474976710655.000000	7.241684	6189	0.000000
281474976710655.000000	7.136945	6190	0.000000
281474976710655.000000	6.840965	6191	0.000000
281474976710655.000000	6.773942	6192	0.000000
281474976710655.000000	6.703254	6193	0.000000
281474976710655.000000	6.479154	6194	0.000000
281474976710655.000000	6.113932	6195	0.000000
