num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
4643	7434.821630	7.943112	0.380554	-0.915492	1.984925
4645	7441.912833	69.114577	2.087375	-1.007532	110.774995
4647	7444.000345	60.221493	2.024366	-1.007790	94.845665
4649	7446.087639	52.220539	1.956009	-1.007404	70.803638
4651	7448.175925	45.332032	1.868224	-1.007758	51.334369
4653	7450.262575	39.275555	1.743062	-1.006397	41.578247
4655	7452.349258	33.817358	1.582726	-1.001919	31.551392
4657	7454.435569	29.376051	1.412796	-0.998086	22.642155
4659	7456.522614	25.348257	1.236282	-0.992401	16.867903
4661	7458.606819	21.869921	1.077660	-0.987067	12.916184
4663	7460.694906	18.705086	0.954381	-0.981619	9.303940
4665	7462.779378	16.000179	0.839469	-0.978017	6.223355
4667	7464.861790	13.653462	0.734753	-0.975533	4.684233
4669	7466.941091	11.638076	0.641047	-0.974126	3.481381
4671	7469.029500	9.856560	0.553090	-0.972978	2.710497
